Title,Series,Universal Link,Amazon Link,ASIN,Bookfunnel Link,Bookbub Link,Goodreads Link,Booksprout Link
HOLD ME,Promise Me Book 1,books2read.com/u/bMQMo7,https://www.amazon.com/gp/product/B01LVZXUEB,B01LVZXUEB,,https://www.bookbub.com/books/hold-me-promise-me-1-by-brea-viragh,https://www.goodreads.com/book/show/32055225-hold-me,
TOUCH ME,Promise Me Book 2,books2read.com/u/mqZ2Je,https://www.amazon.com/gp/product/B01N7F244Q,B01N7F244Q,,https://www.bookbub.com/books/touch-me-promise-me-by-brea-viragh,https://www.goodreads.com/book/show/33282032-touch-me,
KISS ME,Promise Me Book 3,books2read.com/u/mlegJM,https://www.amazon.com/gp/product/B06XBVC9HM,B06XBVC9HM,,https://www.bookbub.com/books/kiss-me-promise-me-3-by-brea-viragh,https://www.goodreads.com/book/show/34743131-kiss-me,
LOVE ME,Promise Me Book 4,books2read.com/u/3J8M1g,https://www.amazon.com/gp/product/B0714LVZL4,B0714LVZL4,,https://www.bookbub.com/books/love-me-promise-me-4-by-brea-viragh,https://www.goodreads.com/book/show/35506414-love-me,
SUGAR AND GOLD,A Heartwood Novel,books2read.com/u/md0MJE,https://www.amazon.com/gp/product/B074453HZL,B074453HZL,,https://www.bookbub.com/books/sugar-and-gold-a-heartwood-novel-by-brea-viragh-2018-11-08,https://www.goodreads.com/book/show/36331890-sugar-and-gold,
YOUR HAND IN MINE,A Heartwood Novel,books2read.com/u/mgLdJx,https://www.amazon.com/gp/product/B07CH124TQ,B07CH124TQ,,https://www.bookbub.com/books/your-hand-in-mine-a-heartwood-novel-by-brea-viragh,https://www.goodreads.com/book/show/40772164-your-hand-in-mine,
TO SEE YOU SMILE,A Heartwood Novel,,https://www.amazon.com/dp/B078SQ88N1,B078SQ88N1,,https://www.bookbub.com/books/to-see-you-smile-a-heartwood-novella-by-brea-viragh,https://www.goodreads.com/book/show/37830128-to-see-you-smile,
LAST CHRISTMAS ANGEL,A Heartwood Novel,books2read.com/u/4DlYQd,https://www.amazon.com/gp/product/B07JZJS28D,B07JZJS28D,https://BookHip.com/SBXBTVV,https://www.bookbub.com/books/last-christmas-angel-by-brea-viragh,https://www.goodreads.com/book/show/41564668-last-christmas-angel,
FEEL MY LOVE,A Heartwood Novel,books2read.com/u/mYoOkd,https://www.amazon.com/gp/product/B07K5HG98Q,B07K5HG98Q,,https://www.bookbub.com/books/feel-my-love-a-heartwood-short-story-by-brea-viragh,https://www.goodreads.com/book/show/42624078-feel-my-love,
FATE WALKS,Cavaldi Birthright Book 1,books2read.com/u/m2v5kk,https://www.amazon.com/gp/product/B078MTDWMJ,B078MTDWMJ,,https://www.bookbub.com/books/fate-walks-cavaldi-birthright-book-1-by-brea-viragh,https://www.goodreads.com/book/show/38614273-fate-walks,
MORNING'S LIGHT,Cavaldi Birthright Book 2,books2read.com/u/38rwz7,https://www.amazon.com/gp/product/B079Q8JPD9,B079Q8JPD9,,https://www.bookbub.com/books/morning-s-light-cavaldi-birthright-book-2-by-brea-viragh,https://www.goodreads.com/book/show/38489758-morning-s-light,
IN THE DARK,Cavaldi Birthright Book 3,books2read.com/u/md0MJy,https://www.amazon.com/gp/product/B07BJ4YZCQ,B07BJ4YZCQ,,https://www.bookbub.com/books/in-the-dark-cavaldi-birthright-book-3-by-brea-viragh,https://www.goodreads.com/book/show/39900276-in-the-dark,
TWILIGHT SUN,Cavaldi Birthright Book 4,books2read.com/u/47Zpja,https://www.amazon.com/gp/product/B07BS27JK1,B07BS27JK1,,https://www.bookbub.com/books/twilight-sun-cavaldi-birthright-book-4-by-brea-viragh,https://www.goodreads.com/book/show/40026546-twilight-sun,
PIKE,,,,,https://BookHip.com/MBGXFM,https://www.bookbub.com/books/pike-by-brea-viragh,https://www.goodreads.com/book/show/38913585-pike,
SHIFTER BY CHRISTMAS,,books2read.com/u/bwYDJy,https://www.amazon.com/gp/product/B07K6VZDY5,B07K6VZDY5,https://BookHip.com/WPFDH,https://www.bookbub.com/books/shifter-by-christmas-by-brea-viragh,https://www.goodreads.com/book/show/42733181-shifter-by-christmas,
HOLD MY HEART,,books2read.com/u/mKRk8P,https://www.amazon.com/dp/B07T9X8FT5,B07T9X8FT5,,https://www.bookbub.com/books/hold-my-heart-by-brea-viragh,https://www.goodreads.com/book/show/51237336-hold-my-heart,
BENEATH MY SKIN,,books2read.com/u/3JyEJ,https://www.amazon.com/gp/product/B07PDHDF9Y/r,B07PDHDF9Y,,https://www.bookbub.com/books/beneath-my-skin-by-brea-viragh,https://www.goodreads.com/book/show/44286070-beneath-my-skin,
